wavelength_nm,FF495-Di03_AOI_47_CHA_0_Pol_A
270.2,1E-07
270.4,1E-07
270.6,1E-07
270.8,1E-07
271.0,1E-07
271.2,1E-07
271.4,1E-07
271.6,1E-07
271.8,1E-07
272.0,1E-07
272.2,1E-07
272.4,1E-07
272.6,1E-07
272.8,1E-07
273.0,1E-07
273.2,1E-07
273.4,1E-07
273.6,1E-07
273.8,1E-07
274.0,1E-07
274.2,1E-07
274.4,1E-07
274.6,1E-07
274.8,1E-07
275.0,1E-07
275.2,1E-07
275.4,1E-07
275.6,1E-07
275.8,1E-07
276.0,1E-07
276.2,1E-07
276.4,1E-07
276.6,1E-07
276.8,1E-07
277.0,1E-07
277.2,1E-07
277.4,1.1196248E-07
277.6,1.6118026E-07
277.8,2.3442461E-07
278.0,3.4417556E-07
278.2,5.0926172E-07
278.4,7.5764816E-07
278.6,1.1300241E-06
278.8,1.6841279E-06
279.0,2.4995768E-06
279.2,3.6829206E-06
279.4,5.372744E-06
279.6,7.7448345E-06
279.8,1.101717E-05
280.0,1.5453056E-05
280.2,2.1358518E-05
280.4,2.9068643E-05
280.6,3.8919775E-05
280.8,5.1211154E-05
281.0,6.616638E-05
281.2,8.390737E-05
281.4,0.00010445109
281.6,0.00012773608
281.8,0.00015367833
282.0,0.00018223799
282.2,0.00021345521
282.4,0.00024741633
282.6,0.00028417018
282.8,0.00032369486
283.0,0.00036604247
283.2,0.00041169558
283.4,0.00046199169
283.6,0.00051937296
283.8,0.0005872982
284.0,0.00066980124
284.2,0.00077074696
284.4,0.00089288172
284.6,0.0010370133
284.8,0.0012020515
285.0,0.0013866013
285.2,0.0015917685
285.4,0.0018235711
285.6,0.0020934233
285.8,0.002416445
286.0,0.0028081457
286.2,0.0032797976
286.4,0.0038327045
286.6,0.004453146
286.8,0.0051126312
287.0,0.0057780227
287.2,0.0064296164
287.4,0.0070762777
287.6,0.0077577551
287.8,0.0085350438
288.0,0.0094768919
288.2,0.010647463
288.4,0.012093241
288.6,0.013826437
288.8,0.015808785
289.0,0.017952063
289.2,0.020154931
289.4,0.022370485
289.6,0.024659982
289.8,0.027188048
290.0,0.030161362
290.2,0.03374094
290.4,0.037947098
290.6,0.042587866
290.8,0.047297329
291.0,0.051739539
291.2,0.055815049
291.4,0.059630867
291.6,0.063268212
291.8,0.066583512
292.0,0.069226932
292.2,0.070892826
292.4,0.07160058
292.6,0.071770866
292.8,0.072072237
293.0,0.073173315
293.2,0.075519048
293.4,0.079146528
293.6,0.083527126
293.8,0.087557418
294.0,0.089903091
294.2,0.089603603
294.4,0.086575832
294.6,0.081744728
294.8,0.076626924
295.0,0.072658523
295.2,0.070839267
295.4,0.07174775
295.6,0.075533491
295.8,0.081546135
296.0,0.088035839
296.2,0.093222411
296.4,0.096172041
296.6,0.095574322
296.8,0.090775857
297.0,0.08409661
297.2,0.079414219
297.4,0.079606233
297.6,0.085187658
297.8,0.092566567
298.0,0.09750904
298.2,0.10278059
298.4,0.1111419
298.6,0.11796374
298.8,0.12609277
299.0,0.13737141
299.2,0.13878221
299.4,0.12798757
299.6,0.1133553
299.8,0.099860356
300.0,0.087146664
300.2,0.073556095
300.4,0.059516003
300.6,0.047119915
300.8,0.036954048
301.0,0.030734397
301.2,0.028358789
301.4,0.029826953
301.6,0.03673546
301.8,0.051199269
302.0,0.054355989
302.2,0.026910211
302.4,0.01065502
302.6,0.0047892501
302.8,0.0024960168
303.0,0.0014679051
303.2,0.00095185376
303.4,0.00066993159
303.6,0.00050657543
303.8,0.0004089564
304.0,0.00035130974
304.2,0.00032090506
304.4,0.00031235624
304.6,0.00032597144
304.8,0.00037029837
305.0,0.00047591701
305.2,0.00061751656
305.4,0.00091915974
305.6,0.0015738996
305.8,0.002257854
306.0,0.0015761751
306.2,0.00077144828
306.4,0.00040553949
306.6,0.00024253259
306.8,0.00016158147
307.0,0.00011722632
307.2,9.110368E-05
307.4,7.4990818E-05
307.6,6.4868581E-05
307.8,5.8643654E-05
308.0,5.5191518E-05
308.2,5.3925809E-05
308.4,5.4598842E-05
308.6,5.7216926E-05
308.8,6.2025013E-05
309.0,6.9548489E-05
309.2,8.0702694E-05
309.4,9.7007021E-05
309.6,0.00012098516
309.8,0.00015692477
310.0,0.00021237637
310.2,0.00030127241
310.4,0.00045087513
310.6,0.0007186986
310.8,0.0012394946
311.0,0.0023920561
311.2,0.0054514402
311.4,0.012042291
311.6,0.036161677
311.8,0.11284729
312.0,0.13106435
312.2,0.087472673
312.4,0.070319552
312.6,0.069608237
312.8,0.07918207
313.0,0.09476871
313.2,0.10624536
313.4,0.1026996
313.6,0.088724496
313.8,0.075623006
314.0,0.06837677
314.2,0.068350847
314.4,0.078547682
314.6,0.10850988
314.8,0.16479926
315.0,0.22578113
315.2,0.30094912
315.4,0.38573024
315.6,0.45354276
315.8,0.47486468
316.0,0.37914122
316.2,0.28537806
316.4,0.24336956
316.6,0.24317234
316.8,0.28367737
317.0,0.36693703
317.2,0.42934523
317.4,0.38791468
317.6,0.352639
317.8,0.36939904
318.0,0.38677952
318.2,0.35908888
318.4,0.31279735
318.6,0.29044986
318.8,0.31202939
319.0,0.34954643
319.2,0.29226639
319.4,0.21765479
319.6,0.19058889
319.8,0.19613366
320.0,0.22548595
320.2,0.27665656
320.4,0.34315052
320.6,0.40102613
320.8,0.4178155
321.0,0.39312592
321.2,0.35976439
321.4,0.34401531
321.6,0.32932568
321.8,0.28929473
322.0,0.26461075
322.2,0.26355207
322.4,0.27950741
322.6,0.30790058
322.8,0.34361341
323.0,0.37842669
323.2,0.40247857
323.4,0.41038316
323.6,0.40561933
323.8,0.39755246
324.0,0.39604433
324.2,0.40980319
324.4,0.44227004
324.6,0.46426305
324.8,0.4649229
325.0,0.46326247
325.2,0.44547938
325.4,0.40340245
325.6,0.34655423
325.8,0.29048356
326.0,0.24479872
326.2,0.21208245
326.4,0.19166212
326.6,0.18263254
326.8,0.18575549
327.0,0.20578436
327.2,0.25030011
327.4,0.28317707
327.6,0.28851456
327.8,0.31658581
328.0,0.35221545
328.2,0.36331188
328.4,0.33245232
328.6,0.27657627
328.8,0.22208309
329.0,0.18099486
329.2,0.15439476
329.4,0.14078923
329.6,0.13963926
329.8,0.14506723
330.0,0.13898097
330.2,0.13517165
330.4,0.14537552
330.6,0.16970859
330.8,0.20994196
331.0,0.26680718
331.2,0.32902976
331.4,0.36270464
331.6,0.34024329
331.8,0.2826979
332.0,0.2258501
332.2,0.18411085
332.4,0.15754993
332.6,0.14311417
332.8,0.13856985
333.0,0.14313433
333.2,0.15695766
333.4,0.1800095
333.6,0.21187253
333.8,0.24482025
334.0,0.25317772
334.2,0.21792655
334.4,0.16178112
334.6,0.11390659
334.8,0.081385718
335.0,0.060745179
335.2,0.047768725
335.4,0.039607592
335.6,0.034577894
335.8,0.031735341
336.0,0.030591888
336.2,0.030964878
336.4,0.032910825
336.6,0.036698961
336.8,0.042738577
337.0,0.051180543
337.2,0.060512748
337.4,0.065689413
337.6,0.06144791
337.8,0.049598748
338.0,0.03678744
338.2,0.026809254
338.4,0.019959081
338.6,0.015425946
338.8,0.012435134
339.0,0.010456831
339.2,0.009161237
339.4,0.0083505041
339.6,0.007911106
339.8,0.0077862013
340.0,0.0079620248
340.2,0.0084642586
340.4,0.0093623796
340.6,0.010779997
340.8,0.012902152
341.0,0.015935284
341.2,0.019840764
341.4,0.023521139
341.6,0.024754007
341.8,0.022729092
342.0,0.018776929
342.2,0.014726206
342.4,0.011492322
342.6,0.0091697731
342.8,0.0075717082
343.0,0.0064985559
343.2,0.0058048159
343.4,0.0053997877
343.6,0.0052380255
343.8,0.0053166535
344.0,0.0056899829
344.2,0.0065267228
344.4,0.0082641643
344.6,0.01138054
344.8,0.012755577
345.0,0.012171743
345.2,0.013502381
345.4,0.016624955
345.6,0.02080401
345.8,0.024275259
346.0,0.02461732
346.2,0.021662192
346.4,0.017617556
346.6,0.014139197
346.8,0.011637027
347.0,0.0099973612
347.2,0.0090396565
347.4,0.0086409548
347.6,0.0086780986
347.8,0.0088322075
348.0,0.0089721611
348.2,0.0095508384
348.4,0.010885812
348.6,0.013231473
348.8,0.017002619
349.0,0.022636442
349.2,0.029571993
349.4,0.034090097
349.6,0.031579372
349.8,0.024393101
350.0,0.017628033
350.2,0.012895587
350.4,0.0098491386
350.6,0.0079139535
350.8,0.0066875177
351.0,0.0059294442
351.2,0.0055045697
351.4,0.0053436959
351.6,0.0054224557
351.8,0.0057495803
352.0,0.0063492466
352.2,0.0072349346
352.4,0.0084567791
352.6,0.0100864
352.8,0.01189515
353.0,0.013038844
353.2,0.012482889
353.4,0.010363271
353.6,0.0078768776
353.8,0.0058343319
354.0,0.0043762973
354.2,0.0033812341
354.4,0.0027057612
354.6,0.0022439264
354.8,0.0019263374
355.0,0.0017092118
355.2,0.0015653684
355.4,0.0014784243
355.6,0.0014394411
355.8,0.0014453094
356.0,0.0014985917
356.2,0.0016091085
356.4,0.001798001
356.6,0.0020997212
356.8,0.0025130382
357.0,0.0029162869
357.2,0.0033787708
357.4,0.0040601568
357.6,0.0049187352
357.8,0.0057070072
358.0,0.0060112559
358.2,0.0056096067
358.4,0.0047523604
358.6,0.0038390097
358.8,0.0030813913
359.0,0.0025172505
359.2,0.002117991
359.4,0.0018473948
359.6,0.0016818131
359.8,0.0016193513
360.0,0.0016731672
360.2,0.0016881239
360.4,0.0015255758
360.6,0.0014575705
360.8,0.0014971211
361.0,0.0016183132
361.2,0.0018262673
361.4,0.0021501339
361.6,0.0026483978
361.8,0.0034286213
362.0,0.004685507
362.2,0.0067438531
362.4,0.0099304751
362.6,0.013520347
362.8,0.014279203
363.0,0.011176324
363.2,0.0076053232
363.4,0.005154567
363.6,0.0036511836
363.8,0.002723573
364.0,0.002130654
364.2,0.0017371272
364.4,0.0014674642
364.6,0.0012782334
364.8,0.0011435207
365.0,0.0010473114
365.2,0.00097941302
365.4,0.0009332037
365.6,0.00090435946
365.8,0.00089013751
366.0,0.00088900826
366.2,0.00090053341
366.4,0.00092535722
366.6,0.00096467481
366.8,0.001016781
367.0,0.0010694524
367.2,0.001107731
367.4,0.0011398191
367.6,0.0011826174
367.8,0.0012429608
368.0,0.0013227341
368.2,0.0014242305
368.4,0.0015517324
368.6,0.0017120635
368.8,0.0019152124
369.0,0.0021752639
369.2,0.0025115856
369.4,0.0029498085
369.6,0.0035210012
369.8,0.004254545
370.0,0.0051546817
370.2,0.0061476166
370.4,0.0070136003
370.6,0.0074131568
370.8,0.0071301846
371.0,0.0063023515
371.2,0.0052763617
371.4,0.0043198171
371.6,0.0035384876
371.8,0.0029382038
372.0,0.0024891444
372.2,0.0021571049
372.4,0.0019136192
372.6,0.001737475
372.8,0.0016136493
373.0,0.0015318521
373.2,0.0014852939
373.4,0.0014697641
373.6,0.0014829454
373.8,0.0015238346
374.0,0.0015921144
374.2,0.0016872786
374.4,0.0018072841
374.6,0.0019465045
374.8,0.0020929932
375.0,0.0022260968
375.2,0.0023173807
375.4,0.0023383423
375.6,0.002273711
375.8,0.0021310265
376.0,0.0019371464
376.2,0.0017245803
376.4,0.0015192278
376.6,0.0013360396
376.8,0.0011807495
377.0,0.0010534583
377.2,0.00095162415
377.4,0.00087189724
377.6,0.00081104449
377.8,0.00076633102
378.0,0.0007356269
378.2,0.00071739318
378.4,0.00071062451
378.6,0.00071477984
378.8,0.00072970774
379.0,0.00075555522
379.2,0.00079263324
379.4,0.00084119483
379.6,0.00090106568
379.8,0.00097107013
380.0,0.0010482493
380.2,0.001127022
380.4,0.0011987327
380.6,0.0012523858
380.8,0.0012772619
381.0,0.001266884
381.2,0.0012220382
381.4,0.001150514
381.6,0.0010637198
381.8,0.00097266593
382.0,0.00088551977
382.2,0.00080711284
382.4,0.00073960109
382.6,0.00068342335
382.8,0.00063810851
383.0,0.00060281749
383.2,0.00057665962
383.4,0.00055885765
383.6,0.00054882409
383.8,0.00054619045
384.0,0.00055081314
384.2,0.00056276732
384.4,0.00058233062
384.6,0.00060995086
384.8,0.00064618321
385.0,0.00069157192
385.2,0.0007464405
385.4,0.00081055028
385.6,0.00088260619
385.8,0.00095965556
386.0,0.0010365646
386.2,0.001105961
386.4,0.001159162
386.6,0.0011883165
386.8,0.0011890861
387.0,0.0011623473
387.2,0.0011137507
387.4,0.0010514856
387.6,0.00098371889
387.8,0.00091693555
388.0,0.0008554417
388.2,0.00080163675
388.4,0.00075656941
388.6,0.00072047571
388.8,0.00069318615
389.0,0.00067439629
389.2,0.00066383299
389.4,0.00066135305
389.6,0.00066700268
389.8,0.00068105711
390.0,0.00070405149
390.2,0.00073680808
390.4,0.00078045843
390.6,0.00083645159
390.8,0.00090652813
391.0,0.00099262239
391.2,0.0010966323
391.4,0.0012199741
391.6,0.0013628373
391.8,0.0015230897
392.0,0.0016949147
